time	V(n002)
2.631252804246388e-02	4.344032e+00
2.636446944871388e-02	4.343011e+00
2.641641085496388e-02	4.341990e+00
2.646835226121388e-02	4.340970e+00
2.652029366746388e-02	4.339949e+00
2.657223507371387e-02	4.338929e+00
2.662417647996387e-02	4.337909e+00
2.672805929246387e-02	4.335869e+00
2.699518652460672e-02	4.330629e+00
2.726231375674957e-02	4.325395e+00
2.752944098889242e-02	4.320168e+00
2.779656822103527e-02	4.314947e+00
2.806369545317812e-02	4.309732e+00
2.833082268532098e-02	4.304523e+00
2.859794991746382e-02	4.299321e+00
2.876119433710668e-02	4.296145e+00
2.892443875674953e-02	4.292971e+00
2.908768317639238e-02	4.289799e+00
2.925092759603524e-02	4.286630e+00
2.941417201567809e-02	4.283464e+00
2.957741643532094e-02	4.280300e+00
2.974066085496380e-02	4.277138e+00
3.000036788621379e-02	4.272112e+00
3.008941029692807e-02	4.270390e+00
3.017845270764236e-02	4.268669e+00
3.026749511835664e-02	4.266949e+00
3.035653752907093e-02	4.265229e+00
3.044557993978521e-02	4.263510e+00
3.053462235049949e-02	4.261792e+00
3.062366476121377e-02	4.260074e+00
3.082401018532091e-02	4.256212e+00
3.102435560942805e-02	4.252354e+00
3.122470103353519e-02	4.248499e+00
3.142504645764232e-02	4.244647e+00
3.162539188174947e-02	4.240799e+00
3.182573730585660e-02	4.236955e+00
3.202608272996374e-02	4.233114e+00
3.235257156924944e-02	4.226862e+00
3.267906040853515e-02	4.220619e+00
3.300554924782086e-02	4.214386e+00
3.333203808710657e-02	4.208161e+00
3.365852692639227e-02	4.201946e+00
3.398501576567798e-02	4.195740e+00
3.431150460496368e-02	4.189544e+00
3.474187625674938e-02	4.181389e+00
3.517224790853509e-02	4.173250e+00
3.560261956032079e-02	4.165128e+00
3.603299121210650e-02	4.157021e+00
3.646336286389220e-02	4.148930e+00
3.689373451567791e-02	4.140855e+00
3.732410616746361e-02	4.132795e+00
3.756155259603503e-02	4.128355e+00
3.779899902460646e-02	4.123920e+00
